<class 'problems.ANNOP.ANNOP'>,1791410451512,algorithms.GA_with_plotting_fitshare,[19, 0.3523908523908524, 0.36929460580912865, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001A118623438>, None, 0.95, -0.006299272146358836, 8124.981124157165],1.5239159904080548
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[0, 0.18607068607068608, 0.2157676348547718, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.0015039669602292458, 32807.7981826224],1.1570168368340088
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[1, 0.21621621621621623, 0.22406639004149378, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.008501281616519873, 28182.964705981936],1.1849733875194568
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[2, 0.2338877338877339, 0.26141078838174275, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.0035973181113006306, 18817.03914465042],1.2220520357971816
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[3, 0.2338877338877339, 0.26141078838174275, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.0022177277475252874, 9697.741738173889],1.2564932745945638
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[4, 0.24324324324324326, 0.22821576763485477, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.0021087294003106632, 9006.632069741932],1.286359384380642
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[5, 0.2661122661122661, 0.29045643153526973, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.009823163361169798, 9422.224484673254],1.3099520254389525
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[6, 0.28586278586278585, 0.26141078838174275, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, 0.0018094908789314107, 9803.023330261085],1.3341934087185028
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[7, 0.3128898128898129, 0.31950207468879666, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.006013812794754929, 8994.31936132309],1.3763184543639315
<class 'problems.ANNOP.ANNOP'>,2667344499768,algorithms.GA_with_plotting_fitshare,[8, 0.3232848232848233, 0.3360995850622407, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000026D0A1F1438>, None, 0.95, -0.002792931122969272, 9289.682911337184],1.4102152789676468
